official_scenic_id,scenic_name,category_name,radius_m,poi_category,poi_count,nearest_distance_m
BJ20_09,居庸关长城,长城关隘类,1000,transport,5,783.56
BJ20_09,居庸关长城,长城关隘类,1000,parking,4,683.21
BJ20_09,居庸关长城,长城关隘类,1000,food_retail,4,704.6
BJ20_09,居庸关长城,长城关隘类,1000,lodging,2,750.51
BJ20_09,居庸关长城,长城关隘类,1000,commercial,5,457.26
BJ20_09,居庸关长城,长城关隘类,1000,public_service,12,128.68
BJ20_09,居庸关长城,长城关隘类,1000,nearby_attractions,21,596.15
BJ20_09,居庸关长城,长城关隘类,2000,transport,28,783.56
BJ20_09,居庸关长城,长城关隘类,2000,parking,4,683.21
BJ20_09,居庸关长城,长城关隘类,2000,food_retail,4,704.6
BJ20_09,居庸关长城,长城关隘类,2000,lodging,2,750.51
BJ20_09,居庸关长城,长城关隘类,2000,commercial,5,457.26
BJ20_09,居庸关长城,长城关隘类,2000,public_service,13,128.68
BJ20_09,居庸关长城,长城关隘类,2000,nearby_attractions,25,596.15
